# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
Tree.txt
Grass.txt
luckyblock.txt
goomba.txt
mushroom.txt
platform1.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 6 = Tree, 7 = Grass, 8 = Lucky_Block_Spawn_Coin, 9 = Lucky_Block_Spawn_Coin, 10 = mushroom_1
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	120	10

# BRICKS
1	0	180
1	16	180
1	32	180
1	48	180
1	64	180
1	80	180
1	96	180
1	112	180
1	128	180
1	144	180
1	160	180
1	176	180
1	192	180
1	208	180
1	224	180
1	240	180
1	256	180
1	272	180
1	288	180
1	304	180
1	320	180
1	336	180
1	352	180
1	368	180
1	384	180
1	400	180
1	416	180
1	432	180
1	448	180

#GOOMBA
2	300	10

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

4	100	100
4	120	100
4	140	100
4	160	100
4	180	100

#TREE
6 	120	140

#GRASS
7	210	165
7	225	165
7	240	165

#LUCKY_BLOCK
8	210	115
8	226	115
9	260	100
9	276	100

#MUSHROOM
10	210	140

#PLATFORM
11	320	140

#Portal 
50	200	160	216	180	1

